"","hamming","rf","rrf","nniu","rspr","tbr"
"881",1,2,2,1,1,1
"882",1,28,28,67,3,3
"883",1,20,20,47,1,1
"884",1,2,2,1,1,1
"885",1,8,8,7,1,1
"886",1,16,16,18,1,1
"887",1,24,24,57,1,1
"888",1,16,16,18,2,2
"889",1,60,60,176,1,1
"890",1,22,22,52,1,1
"891",1,2,2,1,1,1
"892",1,22,22,52,1,1
"893",1,2,2,1,1,1
"894",1,58,58,170,1,1
"895",1,20,20,47,1,1
"896",1,26,26,62,3,3
"897",1,68,68,211,2,2
"898",1,18,18,21,1,1
"899",1,24,24,57,1,1
"900",1,32,32,84,1,1
"901",1,2,2,1,1,1
"902",1,52,52,152,1,1
"903",1,26,26,62,2,2
"904",1,32,32,84,1,1
"905",1,16,16,18,1,1
"906",1,66,66,203,2,2
"907",1,2,2,1,1,1
"908",1,28,28,67,1,1
"909",1,28,28,67,3,3
"910",1,2,2,1,1,1
"911",1,44,44,124,1,1
"912",1,28,28,67,2,2
"913",1,22,22,52,1,1
"914",1,36,36,98,1,1
"915",1,24,24,57,1,1
"916",1,20,20,47,1,1
"917",1,12,12,12,2,2
"918",1,42,42,119,3,3
"919",1,2,2,1,1,1
"920",1,16,16,18,1,1
"921",1,50,50,145,1,1
"922",1,26,26,62,1,1
"923",1,2,2,1,1,1
"924",1,18,18,21,2,2
"925",1,12,12,12,1,1
"926",1,2,2,1,1,1
"927",1,30,30,72,1,1
"928",1,8,8,7,1,1
"929",1,34,34,91,1,1
"930",1,46,46,131,1,1
"931",1,4,4,3,2,2
"932",1,2,2,1,1,1
"933",1,2,2,1,1,1
"934",1,74,74,235,1,1
"935",1,18,18,21,1,1
"936",1,40,40,112,1,1
"937",1,22,22,52,1,1
"938",1,26,26,62,1,1
"939",1,26,26,62,1,1
"940",1,2,2,1,1,1
"941",1,56,56,164,1,1
"942",1,22,22,52,1,1
"943",1,24,24,57,3,3
"944",1,52,52,152,1,1
"945",1,24,24,57,1,1
"946",1,52,52,152,1,1
"947",1,2,2,1,1,1
"948",1,22,22,52,1,1
"949",1,0,2,0,1,0
"950",1,22,22,52,3,3
"951",1,14,14,15,2,2
"952",1,34,34,91,1,1
"953",1,38,38,105,1,1
"954",1,38,38,105,3,3
"955",1,26,26,62,1,1
"956",1,2,2,1,1,1
"957",1,52,52,152,1,1
"958",1,2,2,1,1,1
"959",1,66,66,203,3,3
"960",1,60,60,176,1,1
"961",1,4,4,3,2,2
"962",1,20,20,47,1,1
"963",1,2,2,1,1,1
"964",1,4,4,3,2,2
"965",1,18,18,21,1,1
"966",1,20,20,47,1,1
"967",1,30,30,72,2,2
"968",1,26,26,62,1,1
"969",1,54,54,158,1,1
"970",1,52,52,152,1,1
"971",1,4,4,3,2,2
"972",1,56,56,164,3,3
"973",1,48,48,138,1,1
"974",1,26,26,62,2,2
"975",1,2,2,1,1,1
"976",1,2,2,1,1,1
"977",1,16,16,18,1,1
"978",1,2,2,1,1,1
"979",1,28,28,67,1,1
"980",1,2,2,1,1,1
"981",1,18,18,21,1,1
"982",1,30,30,72,1,1
"983",1,48,48,138,1,1
"984",0,0,0,0,0,0
"985",1,22,22,52,2,2
"986",1,16,16,18,1,1
"987",1,48,48,138,1,1
"988",1,48,48,138,1,1
"989",1,4,4,3,2,2
"990",1,18,18,21,1,1
"991",1,18,18,21,2,2
"992",1,6,6,5,2,2
"993",1,42,42,119,3,3
"994",0,0,0,0,0,0
"995",1,30,30,72,3,3
"996",1,32,32,84,3,3
"997",1,24,24,57,1,1
"998",1,18,18,21,1,1
"999",1,44,44,124,1,1
"1000",1,24,24,57,1,1
