"","nni","spr","tbr"
"578",5,45,2
"579",9,37,6
"580",1,20,2
"581",3,5,4
"582",1,21,45
"583",1,20,17
"584",1,20,8
"585",22,18,44
"586",1,5,1
"587",4,4,2
"588",1,29,6
"589",20,37,22
"590",6,9,1
"591",1,21,10
"592",5,29,2
"593",11,39,28
"594",19,30,1
"595",10,11,16
"596",25,1,49
"597",3,23,21
"598",11,3,51
"599",1,3,6
"600",2,2,16
"601",1,3,1
"602",4,11,5
"603",4,6,7
"604",1,5,34
"605",3,3,8
"606",1,18,2
"607",3,9,3
"608",1,24,48
"609",6,10,1
"610",1,14,2
"611",6,19,7
"612",1,39,31
"613",8,8,38
"614",6,1,8
"615",16,22,1
"616",11,25,7
"617",1,45,49
"618",5,30,51
"619",1,1,1
"620",1,6,47
"621",1,17,1
"622",10,3,1
"623",4,36,15
"624",3,25,20
"625",12,1,1
"626",2,2,15
"627",1,3,15
"628",25,4,4
"629",1,14,7
"630",2,30,29
"631",1,17,4
"632",1,28,2
"633",1,3,34
"634",13,20,8
"635",1,5,4
"636",10,7,10
"637",1,20,24
"638",13,11,1
"639",1,4,33
"640",9,7,2
"641",1,18,2
"642",6,24,4
"643",1,32,5
"644",1,9,29
"645",7,33,27
"646",3,47,9
"647",1,48,50
"648",8,7,30
"649",1,35,10
"650",1,3,56
"651",1,29,22
"652",2,1,5
"653",1,12,3
"654",5,10,14
"655",1,2,3
"656",1,1,19
"657",1,54,23
"658",1,7,13
"659",6,1,56
"660",8,26,57
"661",6,27,30
"662",1,34,7
"663",5,4,15
"664",1,4,28
"665",33,26,5
"666",9,13,57
"667",9,24,1
"668",1,8,42
"669",15,21,12
"670",10,16,39
"671",7,3,28
"672",5,1,1
"673",19,1,9
"674",1,17,7
"675",1,23,32
"676",12,9,54
"677",28,8,20
"678",1,25,24
"679",1,31,55
"680",1,14,1
"681",2,1,10
"682",1,12,26
"683",1,11,2
"684",1,1,23
"685",9,1,5
"686",1,39,27
"687",1,1,37
"688",1,17,4
"689",16,27,7
"690",28,42,19
"691",4,33,1
"692",14,1,15
"693",19,29,19
"694",1,25,19
"695",2,33,1
"696",1,30,36
"697",10,48,12
"698",8,1,36
"699",1,29,10
"700",1,24,16
"701",4,17,39
"702",1,54,2
"703",1,3,41
"704",26,13,28
"705",1,28,32
"706",7,16,9
"707",6,29,32
"708",14,29,21
"709",13,13,1
"710",1,28,7
"711",14,2,32
"712",3,41,42
"713",2,1,30
"714",1,34,34
"715",1,13,45
"716",1,3,3
"717",1,38,12
"718",3,32,3
"719",7,10,36
"720",17,18,32
"721",6,1,2
"722",6,11,24
"723",1,20,18
"724",5,1,1
"725",25,24,21
"726",1,7,16
"727",1,1,31
"728",1,21,37
"729",21,28,40
"730",16,19,32
"731",1,3,7
"732",2,17,28
"733",6,2,10
"734",1,19,2
"735",4,16,35
"736",7,25,53
"737",10,26,23
"738",1,17,2
"739",2,25,14
"740",1,33,36
"741",20,13,25
"742",2,31,16
"743",14,27,41
"744",2,32,17
"745",14,9,1
"746",1,18,36
"747",1,1,25
"748",2,25,3
"749",2,2,47
"750",23,15,37
"751",1,1,12
"752",2,43,29
"753",2,51,29
"754",15,1,18
"755",1,10,8
"756",17,1,36
"757",10,22,5
"758",7,9,24
"759",1,3,10
"760",22,7,1
"761",3,44,23
"762",1,22,22
"763",1,32,16
"764",5,5,17
"765",3,5,55
"766",1,14,44
"767",14,14,27
"768",7,3,5
"769",3,11,7
"770",1,2,38
"771",1,1,1
"772",8,20,46
"773",1,1,23
"774",1,19,35
"775",11,1,7
"776",1,7,1
"777",1,2,53
"778",1,22,32
"779",7,15,1
"780",9,35,16
"781",6,38,6
"782",1,1,4
"783",1,1,5
"784",1,44,22
"785",10,8,5
"786",2,10,23
"787",1,15,31
"788",1,12,18
"789",1,11,7
"790",1,6,9
"791",9,11,9
"792",1,24,13
"793",6,2,1
"794",1,1,16
"795",8,3,1
"796",1,15,6
"797",1,1,8
"798",1,30,39
"799",1,2,44
"800",7,20,25
"801",3,4,1
"802",2,12,18
"803",1,29,43
"804",1,27,8
"805",1,6,19
"806",12,2,11
"807",1,13,13
"808",1,22,9
"809",7,22,29
"810",8,24,10
"811",1,28,17
"812",1,1,4
"813",1,17,4
"814",3,21,1
"815",3,16,10
"816",22,1,5
"817",7,18,30
"818",1,24,3
"819",1,3,32
"820",1,10,17
"821",10,1,27
"822",4,9,31
"823",7,12,1
"824",1,5,2
"825",1,26,18
"826",1,30,1
"827",7,10,16
"828",13,17,33
"829",1,20,3
"830",4,15,39
"831",1,22,36
"832",4,26,24
"833",8,17,7
"834",1,1,18
"835",1,37,22
"836",1,23,14
"837",1,12,44
"838",5,2,1
"839",1,22,19
"840",5,23,20
"841",1,13,9
"842",9,20,22
"843",2,31,6
"844",1,23,12
"845",2,3,5
"846",1,17,23
"847",1,21,2
"848",8,10,40
"849",23,2,1
"850",10,13,4
"851",1,36,19
"852",1,22,1
"853",1,9,13
"854",1,7,3
"855",1,1,22
"856",6,13,10
"857",1,12,11
"858",11,23,11
"859",14,37,2
"860",11,18,3
"861",20,9,8
"862",11,8,27
"863",7,2,23
"864",1,10,25
"865",6,31,5
"866",4,18,3
"867",11,9,2
"868",1,27,24
"869",3,11,17
"870",5,4,18
"871",12,1,4
"872",8,16,2
"873",1,1,7
"874",6,17,18
"875",2,5,7
"876",4,26,5
"877",2,21,17
"878",6,19,46
"879",6,38,5
"880",1,5,17
"881",1,3,8
"882",17,25,9
"883",1,7,4
"884",2,22,4
"885",10,11,7
"886",1,9,25
"887",6,12,36
"888",4,24,32
"889",1,4,2
"890",4,42,27
"891",25,35,1
"892",2,22,41
"893",1,39,42
"894",1,29,37
"895",1,39,4
"896",26,7,3
"897",1,3,7
"898",1,21,12
"899",1,4,17
"900",1,2,38
"901",1,15,4
"902",1,12,27
"903",1,5,42
"904",4,3,43
"905",1,33,30
"906",14,39,3
"907",1,15,6
"908",1,28,11
"909",6,2,1
"910",9,36,29
"911",1,27,1
"912",12,9,31
"913",6,3,17
"914",1,1,31
"915",12,28,3
"916",1,5,1
"917",28,3,7
"918",8,30,25
"919",1,12,22
"920",1,21,24
"921",3,18,1
"922",3,19,34
"923",7,7,31
"924",1,14,23
"925",5,8,15
"926",1,24,31
"927",2,6,35
"928",9,17,5
"929",14,9,5
"930",2,31,5
"931",15,14,33
"932",3,15,20
"933",10,12,47
"934",8,9,36
"935",5,19,27
"936",1,18,5
"937",1,1,2
"938",24,10,34
"939",19,8,20
"940",1,1,9
"941",1,5,1
"942",3,20,3
"943",5,11,1
"944",27,26,38
"945",1,42,19
"946",1,5,28
"947",3,1,2
"948",12,38,6
"949",12,4,26
"950",4,31,6
"951",1,9,35
"952",30,1,2
"953",1,11,31
"954",1,10,21
"955",5,11,12
"956",1,23,3
"957",19,32,14
"958",14,10,7
"959",8,1,15
"960",2,27,2
"961",7,2,12
"962",1,10,31
"963",3,21,35
"964",1,8,5
"965",13,11,10
"966",20,32,1
"967",10,24,38
"968",4,8,5
"969",20,8,7
"970",12,3,7
"971",7,36,19
"972",1,18,3
"973",5,1,5
"974",13,3,5
"975",1,14,29
"976",3,2,21
"977",3,21,1
"978",3,38,7
"979",9,5,4
"980",4,11,29
"981",1,2,7
"982",2,23,13
"983",1,3,14
"984",6,30,14
"985",13,24,22
"986",1,16,44
"987",1,2,3
"988",10,25,22
"989",1,39,30
"990",2,32,23
"991",14,13,4
"992",1,16,33
"993",1,3,1
"994",3,2,7
"995",1,34,36
"996",2,45,15
"997",3,1,26
"998",13,2,9
"999",29,19,10
"1000",4,2,1
